,01.03.2025 03:32:50,02.03.2025 03:29:56,03.03.2025 03:31:04,04.03.2025 03:31:43,05.03.2025 03:29:36,07.02.2025 21:16:05,08.02.2025 03:22:41,09.02.2025 03:25:06,10.02.2025 03:26:32,11.02.2025 03:25:15,12.02.2025 03:24:44,12.03.2025 03:31:18,13.02.2025 03:24:58,13.03.2025 03:32:28,14.02.2025 03:25:08,14.03.2025 03:31:39,15.02.2025 03:25:38,15.03.2025 03:29:00,16.02.2025 03:27:24,16.03.2025 03:34:46,16.03.2025 22:24:36,17.02.2025 03:27:47,18.02.2025 03:24:25,19.02.2025 03:28:16,19.02.2025 22:12:07,20.02.2025 03:26:08,21.02.2025 03:26:40,22.02.2025 03:24:04,23.02.2025 03:27:23,24.02.2025 03:29:27,25.02.2025 03:28:57,26.02.2025 03:28:47,27.02.2025 03:29:03,27.02.2025 23:26:02,28.02.2025 03:29:10
09.07 - 21.07,22319,22319,22319,22319,22319,22017,22017,22017,22017,22017,22017,22571,22017,22571,22017,22571,22017,22571,22017,22571,22571,22017,22017,22017,,,22017,22017,22269,22269,22521,22269,22319,22319,22319
10.07 - 22.07,20765,20765,20765,20765,20889,20343,20343,20343,20343,20343,20343,20889,20343,21014,20467,21014,20591,21014,20591,,,20591,20591,20591,20591,,20591,20591,20591,20591,20591,20591,20641,20641,20641
16.07 - 28.07,22408,22408,22408,22408,22408,21854,21854,21854,21854,21854,21854,22408,21854,22408,21854,22408,21854,22408,21854,22408,22408,21854,21854,21854,21854,21854,21854,21854,21854,21854,21854,21854,21904,22156,22156
17.07 - 29.07,20915,20915,20915,20915,20915,20989,20989,20989,20989,20865,20865,21536,20865,21660,20865,21412,20865,21412,20865,21412,21412,20865,20865,20865,20865,20865,20865,20865,20865,20865,20865,20865,20915,20915,20915
23.07 - 04.08,21324,21324,21324,21324,21324,21088,21088,21088,21088,21088,21088,21324,21212,21324,21398,21324,21398,21324,21398,21324,21324,21398,21398,21398,21398,21398,21398,21398,21398,21398,21398,21398,21324,21324,21324
24.07 - 05.08,22006,22006,22006,22006,22006,21708,21708,21708,21708,21708,21708,22006,21708,22006,21708,22006,21708,22006,21708,22006,22006,21708,21708,21708,,,21708,21708,21833,21833,21956,21956,22006,22006,22006
30.07 - 11.08,21200,21200,21200,21200,21200,20653,20653,20901,20901,21150,21150,21200,21150,21200,21150,21200,21150,21200,21150,21200,21200,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21200,21200,21200
31.07 - 12.08,20579,20579,20579,20579,20579,20281,20281,20281,20281,20405,20529,20579,20529,20827,20529,20827,20529,20827,20529,20827,20827,20529,20529,20529,20529,20529,20529,20529,20529,20529,20529,20529,20579,20579,20579
06.08 - 18.08,20978,20978,20978,20978,20978,20865,20865,20865,20865,20928,20928,20978,20928,20978,20928,20978,20928,20978,20928,20978,20978,20928,20928,20928,20928,,20928,20928,20928,20928,20928,20928,20978,20978,20978
07.08 - 19.08,20419,20419,20419,20419,20419,20307,20307,20307,20307,20369,20369,20791,20369,20791,20369,20791,20369,20791,20369,,,20369,20369,20369,,,20369,20369,20369,20369,20369,20369,20419,20419,20419
13.08 - 25.08,22181,22181,22181,22181,22181,22068,22068,22068,22068,22131,22131,22181,22131,22181,22131,22181,22131,22181,22131,22181,22181,22131,22131,22131,22131,22131,22131,22131,22131,22131,22131,22131,22181,22181,22181
14.08 - 26.08,21102,21102,21102,21102,21102,20555,20555,20679,20679,20928,20803,21102,20803,21102,20803,21102,20803,21102,20803,,,20803,20803,20803,20803,20928,20928,21176,21176,21176,21176,21176,21102,21102,21102
20.08 - 01.09,20827,20827,20827,20827,20827,20467,20467,20467,20467,20529,20529,20827,20529,20827,20529,20827,20529,20827,20653,,,20653,20777,20777,20777,,20777,20777,20777,20777,20777,20777,20827,20827,20827
21.08 - 02.09,21903,21903,21903,21903,21903,20574,20574,20574,20574,20638,20638,22158,20638,22158,20638,22158,20638,22158,20766,22158,22158,20766,20766,20766,,,21597,21725,21725,21725,21853,21853,21903,21903,21903
28.08 - 09.09,21439,21439,21439,21439,21439,20450,20450,20450,20450,20513,20513,21439,20388,21439,20388,21439,20388,21439,20638,21439,21439,20888,20888,20888,,,21514,21514,21514,21514,21389,21389,21439,21439,21439
29.08 - 10.09,22197,22197,22197,22197,22326,21825,21825,21825,21825,21890,21890,22326,21890,22326,21890,22197,21890,22197,21890,,,21890,21890,21890,21890,,22019,22147,22147,22147,22147,22147,22197,22197,22197
03.09 - 15.09,22720,22720,22720,22720,22720,22578,22578,22578,22578,22670,22670,22720,22670,22720,22670,22720,22670,22720,22670,22720,22720,22670,22670,22670,22670,22670,22670,22670,22670,22670,22670,22670,22720,22720,22720
04.09 - 16.09,21005,21005,21005,21005,21005,20855,20855,20855,20855,20955,20955,21005,20955,21005,20955,21005,20955,21005,20955,21005,21005,20955,20955,20955,20955,20955,21081,21081,21081,21081,21081,21081,21131,21005,21005
10.09 - 22.09,21661,21661,21661,21661,21661,21333,21333,21333,21333,21422,21422,21661,21422,21661,21422,21661,21422,21661,21422,,,21422,21422,21422,,,21422,21422,21548,21548,21737,21737,21661,21661,21661
11.09 - 23.09,22868,22868,22868,22868,22868,22727,22727,22727,22727,22818,22818,23253,22818,23253,22818,23253,22818,23253,22818,23253,23253,22818,22818,22818,22818,,22818,22818,22818,22818,22818,22818,22868,22868,22868
17.09 - 29.09,23070,23070,23070,23070,23070,22928,22928,22928,22928,23020,23020,23070,23020,23070,23020,23070,23020,23070,23020,,,23020,23020,23020,23020,23020,23020,23020,23020,23020,23020,23020,23070,23070,23070
18.09 - 30.09,21886,21886,21886,21886,21886,20994,20994,20994,20994,21081,21207,22327,21396,22327,21396,22327,21396,22327,21396,22327,22327,21396,21396,21396,21521,21521,21647,21647,21647,21647,21647,21647,21886,21886,21886
24.09 - 06.10,22056,22056,22056,22056,22056,21904,21904,21904,21904,22006,22006,22835,22006,22835,22006,22835,22006,22835,22006,22835,22835,22006,22006,22006,,,22006,22006,22006,22006,22006,22006,22056,22056,22056
01.10 - 13.10,20928,20928,20928,20928,20928,20878,20878,20878,20878,20878,20878,20928,20878,20928,20878,20928,20878,20928,20878,20928,20928,20878,20878,20878,20878,,20878,20878,20878,20878,20878,20878,20928,20928,20928
08.10 - 20.10,20823,21083,21083,21083,21018,20514,20514,20514,20514,20514,20514,21018,20514,21018,20514,21018,20514,21018,20514,21018,21018,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20564,20694,20694
15.10 - 27.10,20304,20304,20304,20304,20304,20254,20254,20254,20254,20254,20254,20304,20254,20304,20254,20304,20254,20304,20254,20304,20304,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20304,20304,20304
22.10 - 03.11,20834,20834,20834,20834,20834,20482,20482,20482,20482,20482,20615,20834,20880,20834,20880,20834,20880,20834,20880,20834,20834,20880,20747,20747,20747,20747,20747,20784,20784,20784,20784,20784,20834,20834,20834
29.10 - 10.11,20431,20298,20298,20298,20298,19179,19179,19441,19441,19702,19832,20298,20093,20298,20093,20298,20093,20298,20093,20298,20298,20093,20093,20093,,,20093,20381,20381,20381,20381,20381,20431,20431,20431
05.11 - 17.11,19408,19408,19408,19408,19408,,,,,,,19408,,19408,,19408,,19408,,,,,,,,,,,,,,,,,
12.11 - 24.11,19468,19468,19468,19468,19468,,,,,,,19467,,19467,,19591,,19716,,19716,19716,,,,,,,,,,,,,,
19.11 - 01.12,19086,19086,19086,19086,19086,,,,,,,19356,,19356,,19356,,19356,,19356,19356,,,,,,,,,,,,,,19086
26.11 - 08.12,19718,19718,19718,19718,19718,,,,,,,19718,,19718,,19718,,19718,,19718,19718,,,,,,,,,,,,,,
03.12 - 15.12,19468,19468,19468,19468,19468,,,,,,,19468,,19468,,19468,,19468,,19468,19468,,,,,,,,,,,,,,
10.12 - 22.12,19086,19086,19086,19086,19086,,,,,,,19086,,19086,,19086,,19086,,19086,19086,,,,,,,,,,,,,,19086
17.12 - 29.12,19635,19635,19635,19635,19635,,,,,,,19635,,19635,,19635,,19635,,19643,19643,,,,,,,,,,,,,,
24.12 - 05.01,20317,20317,20317,20317,20317,,,,,,,20317,,20317,,20317,,20317,,20317,20317,,,,,,,,,,,,,,20317
31.12 - 12.01,20317,20317,20317,20317,20317,,,,,,,20317,,20317,,20317,,20317,,20317,20317,,,,,,,,,,,,,,20317
07.01 - 19.01,18508,18508,18508,18508,18508,,,,,,,18513,,18513,,18513,,18513,,18513,18513,,,,,,,,,,,,,,
14.01 - 26.01,18726,18726,18726,18726,18726,,,,,,,18726,,18726,,18726,,18726,,18726,18726,,,,,,,,,,,,,,18726
21.01 - 02.02,18826,18826,18826,18826,18826,,,,,,,18826,,18826,,18826,,18826,,18826,18826,,,,,,,,,,,,,,18826
28.01 - 09.02,19049,19049,19049,19049,19049,,,,,,,19049,,19049,,19049,,19049,,19049,19049,,,,,,,,,,,,,,19049
04.02 - 16.02,19760,19760,19760,19760,19760,,,,,,,19760,,19760,,19760,,19760,,19760,19760,,,,,,,,,,,,,,19760
11.02 - 23.02,19428,19428,19428,19428,19428,,,,,,,19428,,19428,,19428,,19428,,19428,19428,,,,,,,,,,,,,,
18.02 - 02.03,19428,19428,19428,19428,19428,,,,,,,19428,,19428,,19428,,19428,,19428,19428,,,,,,,,,,,,,,19428
25.02 - 09.03,19101,19101,19101,19101,19101,,,,,,,19101,,19101,,19101,,19101,,19101,19101,,,,,,,,,,,,,,
04.03 - 16.03,19028,19028,19028,19028,19028,,,,,,,19028,,19028,,19028,,19028,,19028,19028,,,,,,,,,,,,,,19028
11.03 - 23.03,19013,19013,19013,19013,19013,,,,,,,19013,,19013,,19013,,19013,,19013,19013,,,,,,,,,,,,,,
12.03 - 24.03,,,,,,19810,19810,19310,19810,,,,19509,,19766,,19381,,18681,,,19381,19632,19632,17501,17501,17495,16364,15816,16993,15861,14982,,,
